direction,group,rank_in_group,Description,ID,Count,pvalue,p.adjust,minus_log10_pvalue,minus_log10_p_adjust,geneID
Down,AZFc,5,cell-substrate junction,GO:0030055,28,1.98e-07,3.3e-05,6.703334809738469,4.481486060122113,SH3KBP1/HSP90B1/ARPC2/EZR/CD151/ARF1/CD59/HMGA1/DAB2/CNN1/FHL1/PABPC1/TSPAN4/PFN1/JAK1/RHOA/CD9/CORO1C/LIMA1/FHL2/HACD3/FBLIM1/HSPA5/CNN3/ACTB/HSPA8/ACTG1/HSPB1
Down,AZFc,6,sterol metabolic process,GO:0016125,16,2.07e-07,0.000190993,6.684029654543083,3.718982549595637,SOD1/CYP51A1/EBP/ABCA5/MSMO1/LIMA1/SCARB1/DHCR7/APOE/TM7SF2/MT3/DHCR24/FDX1/CYB5R3/CYP11A1/STAR
Down,AZFc,7,steroid biosynthetic process,GO:0006694,17,2.35e-07,0.000190993,6.628932137728264,3.718982549595637,SOD1/CYP51A1/ASAH1/EBP/HSD17B11/DKKL1/MSMO1/SCARB1/DHCR7/APOE/TM7SF2/DHCR24/FDX1/CYB5R3/CYP11A1/STAR/CYP17A1
Down,AZFc,8,alcohol metabolic process,GO:0006066,25,2.41e-07,0.000190993,6.617982957425132,3.718982549595637,IDH3G/SPTLC1/TKTL1/SOD1/CYP51A1/ASAH1/IDH3B/EBP/ALDH3A2/ABCA5/LHCGR/MSMO1/LIMA1/CD244/SCARB1/TPI1/DHCR7/APOE/TM7SF2/MT3/DHCR24/FDX1/CYB5R3/CYP11A1/STAR
Down,AZFc,9,protein folding chaperone,GO:0044183,9,2.53e-07,0.000163872,6.5968794788241825,3.785495245845698,HSP90AB1/DNAJB6/CCT7/CCT3/DNAJB1/HSPA5/CCT2/HSPA8/HSPB1
Down,AZFc,10,response to toxic substance,GO:0009636,20,1.24e-06,0.00081459,5.906578314837765,3.089060925666024,GLRX/KDM5B/SOD1/PRDX3/GSTM3/SCFD1/GPX4/GSTP1/SOD2/MT1X/ASS1/GPX1/APOE/MT3/MT2A/CLDN1/EPHX1/GSTA1/GPX3/STAR
Down,AZFc,11,fatty acid metabolic process,GO:0006631,25,1.52e-06,0.000838194,5.818156412055227,3.076655452278383,LONP2/ACSL1/FADS1/LYPLA1/HACD2/ASAH1/ACADM/ABHD6/ALDH3A2/PCCB/MSMO1/PHYH/HADHB/GPX4/GSTP1/ACAT1/HADHA/HACD3/TECR/ALKBH7/GPX1/C3/PDK4/EPHX1/GSTA1
Down,AZFc,12,chaperone-mediated protein folding,GO:0061077,10,1.7e-06,0.000838194,5.769551078621726,3.076655452278383,HSPH1/CHORDC1/DNAJB6/HSPE1/FKBP1A/DNAJB1/HSPA5/CCT2/HSPA8/HSPB1
Down,AZFc,13,steroid metabolic process,GO:0008202,22,1.99e-06,0.000875144,5.701146923590294,3.057920480394897,SOD1/CYP51A1/ASAH1/EBP/HSD17B11/DKKL1/LAMTOR1/ABCA5/MSMO1/ACAT1/LIMA1/SCARB1/DHCR7/APOE/TM7SF2/MT3/DHCR24/FDX1/CYB5R3/CYP11A1/STAR/CYP17A1
Down,AZFc,14,regulation of endopeptidase activity,GO:0052548,26,3.01e-06,0.000982086,5.521433504406157,3.007850479942093,PDCD6/PSMD14/VCP/BIN1/PRDX3/TNFSF10/EFNA1/LXN/ANP32B/SPINK2/DNAJB6/HIP1/RHOA/HSPE1/HERPUD1/SERPINF1/CTSH/BEX3/DPEP1/GPX1/PEBP1/PERP/C3/MT3/DHCR24/HSPD1
Down,AZFc,15,endoplasmic reticulum protein-containing complex,GO:0140534,13,3.23e-06,0.000403355,5.490797477668897,3.394312555160956,VCP/HSP90B1/SPTLC1/DDOST/RPN1/SEC11C/DERL2/HM13/FKBP1A/HSPA5/TAPBP/RHBDD2/SPTSSA
Down,iNOA_B,1,vacuolar lumen,GO:0005775,40,3.47e-17,2.13e-14,16.459670525209127,13.671620396561263,GALC/PTGES2/NEU1/LIPA/DPP7/ASAH1/VCP/CREG1/HEXB/PA2G4/CCT2/CTSD/TPP1/LAMP2/TUBB4B/PLD3/CTSB/VAT1/LGMN/GLB1/PRELP/PRDX6/ACTR10/CHID1/SDCBP/CCT8/GRN/NSG1/CTSL/C3/CTSA/TUBB/PSAP/NPC2/FTL/HSPA8/CD74/ANXA2/CYB5R3/LUM
Down,iNOA_B,2,mitochondrial matrix,GO:0005759,67,1.19e-15,2.69e-13,14.924453038607469,12.570247719997592,HIBCH/FH/ISCA1/GFM1/CS/GRPEL1/MRRF/DAP3/HADH/BCKDK/BCAT2/GSTZ1/PRDX5/POLDIP2/HMGCL/HIBADH/HAGH/ATP5F1A/PYCR2/FDXR/DLD/ALDH2/IDH3B/SOD2/ALKBH7/ALDH6A1/NAXD/ACAA2/HSPE1/ERAL1/ISCA2/C1QBP/ETFA/GSTK1/PDSS2/TXN2/NDUFA10/TRUB2/ACAT1/HSPA9/VDAC2/MMAB/PCCB/IDH3G/GPX1/OAT/ATP5F1C/PPA2/NDUFA9/DECR1/ALAS1/TSFM/NDUFS2/TUFM/ECHS1/PDHB/ATP5PB/HSPD1/MDH2/ATP5F1B/ACSM3/PDK4/HADHB/FDX1/SLC25A5/CYP11A1/PRDX3
Down,iNOA_B,3,secretory granule lumen,GO:0034774,53,1.31e-15,2.69e-13,14.882728704344236,12.570247719997592,XRCC6/B2M/DBNL/PRDX4/PTGES2/SCCPDH/NEU1/GPI/DPP7/PSMA5/ARMC8/VCP/QSOX1/NIT2/PSMB7/DERA/CREG1/HEXB/PA2G4/PSMD11/PSMD13/CSNK2B/CCT2/CTSD/SERPING1/PGAM1/PSMD14/PGM2/TUBB4B/VAT1/HSP90AB1/GLB1/PRDX6/ACTR10/SDCBP/IMPDH2/CCT8/GRN/C3/CTSA/TUBB/EEF1A1/ILF2/TEX264/IDH1/NPC2/FTL/LGALS3BP/HSPA8/CLU/ANXA2/CTSH/CYB5R3
Down,iNOA_B,4,cytoplasmic vesicle lumen,GO:0060205,53,1.96e-15,3.01e-13,14.707743928643524,12.521433504406156,XRCC6/B2M/DBNL/PRDX4/PTGES2/SCCPDH/NEU1/GPI/DPP7/PSMA5/ARMC8/VCP/QSOX1/NIT2/PSMB7/DERA/CREG1/HEXB/PA2G4/PSMD11/PSMD13/CSNK2B/CCT2/CTSD/SERPING1/PGAM1/PSMD14/PGM2/TUBB4B/VAT1/HSP90AB1/GLB1/PRDX6/ACTR10/SDCBP/IMPDH2/CCT8/GRN/C3/CTSA/TUBB/EEF1A1/ILF2/TEX264/IDH1/NPC2/FTL/LGALS3BP/HSPA8/CLU/ANXA2/CTSH/CYB5R3
Down,iNOA_B,5,vesicle lumen,GO:0031983,53,2.55e-15,3.13e-13,14.593459819566045,12.504455662453552,XRCC6/B2M/DBNL/PRDX4/PTGES2/SCCPDH/NEU1/GPI/DPP7/PSMA5/ARMC8/VCP/QSOX1/NIT2/PSMB7/DERA/CREG1/HEXB/PA2G4/PSMD11/PSMD13/CSNK2B/CCT2/CTSD/SERPING1/PGAM1/PSMD14/PGM2/TUBB4B/VAT1/HSP90AB1/GLB1/PRDX6/ACTR10/SDCBP/IMPDH2/CCT8/GRN/C3/CTSA/TUBB/EEF1A1/ILF2/TEX264/IDH1/NPC2/FTL/LGALS3BP/HSPA8/CLU/ANXA2/CTSH/CYB5R3
Down,iNOA_B,6,primary lysosome,GO:0005766,32,1.19e-12,1.05e-10,11.924453038607469,9.978810700930062,LPCAT1/SURF4/PTGES2/DPP7/VCP/CMTM6/CREG1/HEXB/PA2G4/CCT2/LAMP2/TUBB4B/TMEM179B/LAMTOR1/VAT1/GLB1/PRDX6/ACTR10/RAB5C/SDCBP/CCT8/GRN/C3/CTSA/TUBB/PSAP/DDOST/NPC2/FTL/ANXA2/MGST1/CYB5R3
Down,iNOA_B,7,azurophil granule,GO:0042582,32,1.19e-12,1.05e-10,11.924453038607469,9.978810700930062,LPCAT1/SURF4/PTGES2/DPP7/VCP/CMTM6/CREG1/HEXB/PA2G4/CCT2/LAMP2/TUBB4B/TMEM179B/LAMTOR1/VAT1/GLB1/PRDX6/ACTR10/RAB5C/SDCBP/CCT8/GRN/C3/CTSA/TUBB/PSAP/DDOST/NPC2/FTL/ANXA2/MGST1/CYB5R3
Down,iNOA_B,8,ficolin-1-rich granule,GO:0101002,35,1.55e-12,1.19e-10,11.809668301829708,9.924453038607469,HSPA1B/XRCC6/DBNL/PRDX4/GPI/ASAH1/PSMA5/VCP/PSMB7/DERA/PSMD11/PSMD13/CSNK2B/CTSD/PGAM1/PSMD14/LAMP2/PGM2/TMEM179B/LAMTOR1/CTSB/COPB1/HSP90AB1/GLB1/CD55/ACTR10/IMPDH2/CCT8/EEF1A1/ILF2/IDH1/ATP6AP2/RHOA/HSPA8/CTSH
Down,iNOA_B,9,ficolin-1-rich granule lumen,GO:1904813,28,3.09e-12,2.11e-10,11.510041520575164,9.675717544702307,HSPA1B/XRCC6/DBNL/PRDX4/GPI/ASAH1/PSMA5/VCP/PSMB7/DERA/PSMD11/PSMD13/CSNK2B/CTSD/PGAM1/PSMD14/PGM2/CTSB/HSP90AB1/GLB1/ACTR10/IMPDH2/CCT8/EEF1A1/ILF2/IDH1/HSPA8/CTSH
Down,iNOA_B,10,fatty acid metabolic process,GO:0006631,53,4.32e-12,1.14e-08,11.364516253185087,7.943095148663527,THNSL2/HACL1/DECR2/ECHDC2/CRYL1/PTGES2/ACSL1/HADH/SCD/ASAH1/PLP1/DLD/AKR1C3/INSIG1/SCP2/ALKBH7/CBR1/ACAA2/ETFA/ABHD6/FABP3/ELOVL1/FADS1/ECI2/ACAT1/SLC25A17/ADIPOR1/HACD2/ANXA1/SCD5/PCCB/GPX1/PHYH/TECR/DEGS1/ALDH3A2/DECR1/GSTM4/C3/APPL2/LYPLA1/ELOVL5/ECHS1/CD74/HACD3/MSMO1/ACSM3/PDK4/HADHB/AKR1B1/ECH1/GSTA1/EPHX1
Down,iNOA_B,11,generation of precursor metabolites and energy,GO:0006091,61,4.71e-12,1.14e-08,11.326979092871104,7.943095148663527,FH/SLC25A4/DHRS3/CS/CIAPIN1/GHITM/UGP2/GPI/NIPSNAP2/MYC/ENO1/HMGCL/VCP/NDUFV1/ATP5F1A/FDXR/DLD/DERA/ALDH2/IDH3B/TALDO1/PGAM1/ETFA/PHB2/UQCRC1/UQCRFS1/GNPDA1/NDUFA10/QDPR/ACAT1/SDHA/UQCRC2/IDH3G/DEGS1/ATP5F1C/NDUFA9/AKR7A2/NDUFB5/NDUFS2/MT3/CYC1/IDH1/SDHD/STEAP4/PDHB/MDH1/ATP5PB/SDHC/TKT/PGK1/LDHA/RHOA/MDH2/STOML2/ATP5F1B/COX7A2L/CYB5A/FDX1/AKR1B1/HSD17B6/TPI1
Down,iNOA_B,12,secondary alcohol metabolic process,GO:1902652,30,9.34e-12,1.51e-08,11.029653123769906,7.82102305270683,SQLE/FDPS/ABCA5/SOAT1/HSD17B7/FDXR/IDH3B/SNX17/INSIG1/ACAA2/IDI1/HMGCR/IDH3G/LDLR/SCARB1/MT3/EBP/IDH1/NPC2/HMGCS1/SC5D/MSMO1/DHCR24/FDFT1/TM7SF2/DHCR7/FDX1/CYB5R3/CYP11A1/STAR
Down,iNOA_B,13,steroid biosynthetic process,GO:0006694,32,2.97e-11,3.61e-08,10.527243550682787,7.442492798094342,SQLE/FDPS/HSD17B7/ASAH1/DKKL1/FDXR/AKR1C3/HSD17B3/INSIG1/SCP2/ACAA2/IDI1/HMGCR/HSD3B2/SCARB1/EBP/HSD17B11/ERG28/HMGCS1/SC5D/MSMO1/DHCR24/FDFT1/TM7SF2/DHCR7/FDX1/AKR1B1/HSD17B6/CYB5R3/CYP11A1/STAR/CYP17A1
Down,iNOA_B,14,"oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor",GO:0016616,27,5.22e-11,3.9e-08,10.282329496997738,7.4089353929735005,DHRS3/CRYL1/HADH/HSD17B7/DHRS7B/HIBADH/AKR1C3/HSD17B3/IDH3B/CBR1/RDH11/LDHC/HMGCR/IDH3G/IMPDH2/HSD3B2/LDHB/AKR7A2/IDH1/GRHPR/HSD17B11/MDH1/LDHA/MDH2/HADHB/AKR1B1/HSD17B6
Down,iNOA_B,15,"oxidoreductase activity, acting on CH-OH group of donors",GO:0016614,28,9.35e-11,3.9e-08,10.029188389127482,7.4089353929735005,DHRS3/CRYL1/HADH/HSD17B7/DHRS7B/HIBADH/AKR1C3/HSD17B3/IDH3B/CBR1/RDH11/LDHC/HMGCR/IDH3G/IMPDH2/HSD3B2/ALDH3A2/LDHB/AKR7A2/IDH1/GRHPR/HSD17B11/MDH1/LDHA/MDH2/HADHB/AKR1B1/HSD17B6
Down,iNOA_S,1,generation of precursor metabolites and energy,GO:0006091,33,1.27e-08,4.78e-05,7.896196279044043,4.320572103387881,ENO1/NDUFS2/ACADM/NDUFB2/CIAPIN1/QDPR/ATP5PF/COX5B/ATP5F1E/NDUFAB1/ATP5MF/BNIP3/AKR1B1/ASPH/COX7A2/UQCC2/SDHA/NDUFA8/COX17/PDHB/DLD/SUCLG1/TPI1/UQCR10/IDH1/ACAT1/ISCU/UGP2/COX7A2L/MT3/FDX1/CYB5A/HSD17B6
Down,iNOA_S,2,aerobic respiration,GO:0009060,19,3.85e-08,5.83e-05,7.414539270491499,4.2343314452409855,NDUFS2/NDUFB2/ATP5PF/COX5B/ATP5F1E/NDUFAB1/ATP5MF/BNIP3/COX7A2/UQCC2/SDHA/NDUFA8/PDHB/DLD/SUCLG1/UQCR10/IDH1/ISCU/COX7A2L
Down,iNOA_S,3,steroid biosynthetic process,GO:0006694,18,5.18e-08,5.83e-05,7.285670240254767,4.2343314452409855,CYP51A1/SC5D/AKR1B1/DKKL1/OSBPL3/SOD1/HSD3B2/EBP/SCARB1/DHCR7/TM7SF2/FDX1/DHCR24/CYB5R3/CYP11A1/HSD17B6/STAR/CYP17A1
Down,iNOA_S,4,electron transport chain,GO:0022900,18,6.19e-08,5.83e-05,7.208309350979882,4.2343314452409855,NDUFS2/NDUFB2/CIAPIN1/QDPR/COX5B/NDUFAB1/AKR1B1/ASPH/COX7A2/SDHA/NDUFA8/DLD/UQCR10/ISCU/COX7A2L/FDX1/CYB5A/HSD17B6
Down,iNOA_S,5,mitochondrial matrix,GO:0005759,31,1.09e-07,2.47e-05,6.962573502059376,4.607303046740334,HIBADH/GRPEL1/NDUFS2/ACADM/PRDX5/PDSS2/ATP5F1E/NDUFAB1/PPA2/SOD2/UQCC2/HAGH/GPX1/PDHB/TSFM/SOD1/DLD/SUCLG1/PCCB/ACAT1/ISCU/HADHB/ALKBH7/SLC25A5/PRDX3/ALAS1/HSPD1/HSPE1/ACSM3/FDX1/CYP11A1
Down,iNOA_S,6,P granule,GO:0043186,7,1.48e-07,2.47e-05,6.8297382846050425,4.607303046740334,SNRPG/PIWIL2/HENMT1/CARHSP1/TDRD1/DDX4/MAEL
Down,iNOA_S,7,germ plasm,GO:0060293,7,1.48e-07,2.47e-05,6.8297382846050425,4.607303046740334,SNRPG/PIWIL2/HENMT1/CARHSP1/TDRD1/DDX4/MAEL
Down,iNOA_S,8,secondary alcohol metabolic process,GO:1902652,16,1.54e-07,0.000115724,6.812479279163537,3.9365765633760725,LIMA1/CYP51A1/SC5D/ABCA5/SOD1/EBP/IDH1/SCARB1/MT3/DHCR7/TM7SF2/FDX1/DHCR24/CYB5R3/CYP11A1/STAR
Down,iNOA_S,9,pole plasm,GO:0045495,7,2.18e-07,2.73e-05,6.661543506395395,4.5638373529592435,SNRPG/PIWIL2/HENMT1/CARHSP1/TDRD1/DDX4/MAEL
Down,iNOA_S,10,electron transfer activity,GO:0009055,15,2.26e-07,0.000150891,6.645891560852599,3.821336663252256,NDUFS2/NDUFB2/CIAPIN1/QDPR/COX5B/AKR1B1/ASPH/COX7A2/SDHA/NDUFA8/UQCR10/COX7A2L/FDX1/CYB5A/HSD17B6
Down,iNOA_S,11,cholesterol metabolic process,GO:0008203,15,3.48e-07,0.000218385,6.458420756053419,3.660777194909371,LIMA1/CYP51A1/SC5D/ABCA5/SOD1/EBP/SCARB1/MT3/DHCR7/TM7SF2/FDX1/DHCR24/CYB5R3/CYP11A1/STAR
Down,iNOA_S,12,positive regulation of telomerase RNA localization to Cajal body,GO:1904874,6,4.57e-07,0.000238385,6.34008379993015,3.6227210753671155,CCT4/CCT6A/NOP10/CCT3/CCT5/CCT2
Down,iNOA_S,13,oxidative phosphorylation,GO:0006119,15,5.07e-07,0.000238385,6.294992040666664,3.6227210753671155,NDUFS2/NDUFB2/ATP5PF/COX5B/ATP5F1E/NDUFAB1/ATP5MF/COX7A2/UQCC2/SDHA/NDUFA8/DLD/UQCR10/ISCU/COX7A2L
Down,iNOA_S,14,antioxidant activity,GO:0016209,12,6.57e-07,0.000219714,6.182434630440219,3.658142269301464,PRDX5/SOD2/PRDX2/TXNRD1/MGST1/GPX1/SOD1/GLRX/PRDX3/MT3/GPX3/GSTA1
Down,iNOA_S,15,mitochondrial inner membrane,GO:0005743,30,6.76e-07,6.77e-05,6.1700533040583645,4.169411331314856,GRPEL1/APOO/NDUFS2/NDUFB2/ATP5PF/COX5B/ATP5F1E/NDUFAB1/MTX2/SLC25A39/MTCH2/ATP5MF/TIMM8B/COX7A2/SLC8B1/UQCC2/SDHA/NDUFA8/HSD3B2/UQCR10/HADHB/CABS1/SLC25A5/COX7A2L/HSPD1/MPC2/CLU/CYP11A1/TMEM70/STAR
Down,KS,1,generation of precursor metabolites and energy,GO:0006091,60,4.8e-12,1.29e-08,11.318758762624412,7.889410289700751,NDUFS1/MDH1/TPI1/LDHA/CCNB1/STAT3/SORBS1/CISD1/HMGB1/SELENOS/SUCLG2/NDUFB2/CYCS/IL6ST/MSH2/NNT/ISCU/GHITM/FDXR/SUCLA2/COX7A2/COX5B/AKR1B1/NDUFAB1/GFPT1/CIAPIN1/COQ10B/NDUFA4/NDUFA8/PARK7/ACADM/PHKB/NDUFA12/BNIP3/HIF1A/COX17/DNAJC15/IFNAR1/ATP5PF/ETFA/NDUFB5/ENO1/PDHB/ATP5F1C/SUCLG1/ACAT1/ATP5MF/UQCC2/ATP5PB/DLD/ATP5F1E/UGP2/COX7A2L/MT3/UQCR10/IDH1/FDX1/CYB5A/STEAP4/HSD17B6
Down,KS,2,energy derivation by oxidation of organic compounds,GO:0015980,46,5.42e-12,1.29e-08,11.266000713461613,7.889410289700751,NDUFS1/MDH1/CCNB1/SORBS1/CISD1/HMGB1/SELENOS/SUCLG2/NDUFB2/CYCS/IL6ST/MSH2/NNT/ISCU/GHITM/SUCLA2/COX7A2/COX5B/NDUFAB1/GFPT1/COQ10B/NDUFA4/NDUFA8/PARK7/ACADM/PHKB/NDUFA12/BNIP3/HIF1A/DNAJC15/IFNAR1/ATP5PF/NDUFB5/PDHB/ATP5F1C/SUCLG1/ATP5MF/UQCC2/ATP5PB/DLD/ATP5F1E/UGP2/COX7A2L/MT3/UQCR10/IDH1
Down,KS,3,aerobic respiration,GO:0009060,34,7.83e-12,1.29e-08,11.106238237942057,7.889410289700751,NDUFS1/MDH1/CCNB1/SUCLG2/NDUFB2/CYCS/MSH2/NNT/ISCU/GHITM/SUCLA2/COX7A2/COX5B/NDUFAB1/NDUFA4/NDUFA8/PARK7/NDUFA12/BNIP3/HIF1A/DNAJC15/ATP5PF/NDUFB5/PDHB/ATP5F1C/SUCLG1/ATP5MF/UQCC2/ATP5PB/DLD/ATP5F1E/COX7A2L/UQCR10/IDH1
Down,KS,4,cellular respiration,GO:0045333,37,2.93e-11,3.61e-08,10.53313237964589,7.442492798094342,NDUFS1/MDH1/CCNB1/CISD1/SUCLG2/NDUFB2/CYCS/MSH2/NNT/ISCU/GHITM/SUCLA2/COX7A2/COX5B/NDUFAB1/COQ10B/NDUFA4/NDUFA8/PARK7/NDUFA12/BNIP3/HIF1A/DNAJC15/IFNAR1/ATP5PF/NDUFB5/PDHB/ATP5F1C/SUCLG1/ATP5MF/UQCC2/ATP5PB/DLD/ATP5F1E/COX7A2L/UQCR10/IDH1
Down,KS,5,cadherin binding,GO:0045296,45,3.81e-10,3.3e-07,9.41907502432438,6.481486060122113,ZC3H15/LDHA/FNBP1L/DDX6/TWF1/CTTN/CAPZB/FLNB/MYH9/HSPA5/CHMP2B/HSPA8/USO1/SH3GLB1/EPCAM/DHX29/GLOD4/PARK7/TMOD3/ITGB1/PSMB6/CCT8/RDX/ARHGAP18/CKAP5/ENO1/CLINT1/TJP1/EIF2A/EIF4G2/UBAP2/RAN/MAPRE1/SLK/BZW1/YWHAE/LIMA1/KTN1/CNN3/EIF5/EZR/CD46/KRT18/IDH1/CTNNAL1
